date,Open,High,Low,Close,Volume,Name,Date
2007-04-23,68.0,68.6,69.2,67.9,8152.0,2330,2007-04-23
2007-04-24,68.8,69.8,70.0,68.6,11240.0,2330,2007-04-24
2007-04-25,69.4,69.3,69.7,68.7,4485.0,2330,2007-04-25
2007-04-26,70.4,69.9,70.5,69.7,8124.0,2330,2007-04-26
2007-04-27,69.9,69.0,70.0,68.7,5254.0,2330,2007-04-27
2007-04-30,68.7,68.7,68.7,67.9,6184.0,2330,2007-04-30
2007-05-02,68.7,68.0,68.7,68.0,6931.0,2330,2007-05-02
2007-05-03,68.0,68.4,68.6,68.0,7077.0,2330,2007-05-03
2007-05-04,68.5,69.1,69.2,68.4,5448.0,2330,2007-05-04
2007-05-07,69.5,68.5,69.6,68.4,6244.0,2330,2007-05-07
2007-05-08,68.5,68.0,68.5,67.8,6902.0,2330,2007-05-08
2007-05-09,67.9,68.0,68.5,67.7,5742.0,2330,2007-05-09
2007-05-10,68.5,68.5,68.7,68.3,4782.0,2330,2007-05-10
2007-05-11,67.5,67.5,68.0,67.5,11125.0,2330,2007-05-11
2007-05-14,67.5,67.2,67.7,66.8,7592.0,2330,2007-05-14
2007-05-15,66.9,66.5,67.2,66.3,10910.0,2330,2007-05-15
2007-05-16,67.0,66.6,67.0,66.4,7348.0,2330,2007-05-16
2007-05-17,67.2,67.7,68.1,67.1,7847.0,2330,2007-05-17
2007-05-18,68.8,68.5,68.9,68.2,11295.0,2330,2007-05-18
2007-05-21,68.8,69.2,69.4,68.5,10028.0,2330,2007-05-21
2007-05-22,69.0,68.4,69.1,68.4,5106.0,2330,2007-05-22
2007-05-23,68.9,68.9,69.2,68.8,6628.0,2330,2007-05-23
2007-05-24,68.5,68.5,68.9,68.2,7513.0,2330,2007-05-24
2007-05-25,67.6,67.4,67.8,66.9,14796.0,2330,2007-05-25
2007-05-28,67.9,67.6,67.9,67.5,4370.0,2330,2007-05-28
2007-05-29,67.9,68.6,68.6,67.8,6960.0,2330,2007-05-29
2007-05-30,67.9,68.0,68.5,67.5,6843.0,2330,2007-05-30
2007-05-31,68.5,68.2,68.7,68.2,7017.0,2330,2007-05-31
2007-06-01,68.8,68.8,69.0,68.6,6520.0,2330,2007-06-01
2007-06-04,69.0,69.1,69.5,69.0,8759.0,2330,2007-06-04
2007-06-05,69.1,69.0,69.3,68.7,6732.0,2330,2007-06-05
2007-06-06,69.0,68.9,69.4,68.6,11799.0,2330,2007-06-06
2007-06-07,68.7,69.0,69.0,68.5,17481.0,2330,2007-06-07
2007-06-08,66.0,65.4,66.0,65.3,29050.0,2330,2007-06-08
2007-06-11,66.0,65.6,66.0,65.5,8851.0,2330,2007-06-11
2007-06-12,65.5,64.8,65.6,64.8,12886.0,2330,2007-06-12
2007-06-13,64.8,64.1,64.8,63.9,13110.0,2330,2007-06-13
2007-06-14,64.7,65.0,65.1,64.6,8702.0,2330,2007-06-14
2007-06-15,65.7,65.7,65.8,65.3,9396.0,2330,2007-06-15
2007-06-20,66.5,68.3,68.5,66.5,27950.0,2330,2007-06-20
2007-06-21,68.6,69.2,69.4,67.7,21730.0,2330,2007-06-21
2007-06-22,69.7,69.0,69.7,68.3,10123.0,2330,2007-06-22
2007-06-23,68.3,68.3,68.5,68.0,3406.0,2330,2007-06-23
2007-06-25,69.0,70.4,70.4,68.9,19222.0,2330,2007-06-25
2007-06-26,69.9,69.1,70.0,69.0,8414.0,2330,2007-06-26
2007-06-27,69.0,69.5,69.8,68.6,6525.0,2330,2007-06-27
2007-06-28,70.2,70.4,70.6,69.6,13589.0,2330,2007-06-28
2007-06-29,71.0,70.9,71.0,69.9,9505.0,2330,2007-06-29
2007-07-02,70.9,71.0,71.0,69.9,9065.0,2330,2007-07-02
2007-07-03,71.1,71.2,71.9,71.1,9196.0,2330,2007-07-03
2007-07-04,71.8,71.9,72.0,71.4,8647.0,2330,2007-07-04
2007-07-05,71.4,71.4,71.6,70.8,10601.0,2330,2007-07-05
2007-07-06,70.9,70.5,71.0,70.1,9964.0,2330,2007-07-06
2007-07-09,70.5,72.0,72.0,70.3,11863.0,2330,2007-07-09
2007-07-10,72.0,72.0,72.6,71.4,14094.0,2330,2007-07-10
2007-07-11,71.8,72.4,72.6,71.4,10874.0,2330,2007-07-11
2007-07-12,72.5,71.7,72.9,71.2,9634.0,2330,2007-07-12
2007-07-13,72.7,73.0,73.1,72.0,15752.0,2330,2007-07-13
2007-07-16,73.0,72.5,73.0,71.6,7248.0,2330,2007-07-16
2007-07-17,72.8,72.7,72.8,71.3,8058.0,2330,2007-07-17
2007-07-18,71.8,71.0,72.2,71.0,10373.0,2330,2007-07-18
2007-07-19,69.9,70.0,70.3,69.4,15784.0,2330,2007-07-19
2007-07-20,70.0,69.4,70.0,68.8,15552.0,2330,2007-07-20
2007-07-23,68.7,68.7,68.9,68.3,13525.0,2330,2007-07-23
2007-07-24,69.0,71.3,71.3,69.0,16877.0,2330,2007-07-24
2007-07-25,69.9,69.6,70.0,69.3,9284.0,2330,2007-07-25
2007-07-26,70.0,68.2,70.0,68.1,16972.0,2330,2007-07-26
2007-07-27,65.0,64.0,65.4,64.0,55123.0,2330,2007-07-27
2007-07-30,63.3,65.0,65.3,63.1,18393.0,2330,2007-07-30
2007-07-31,65.0,65.0,65.2,64.6,14689.0,2330,2007-07-31
2007-08-01,64.0,61.3,64.5,61.3,36687.0,2330,2007-08-01
2007-08-02,62.0,63.8,63.8,61.7,18068.0,2330,2007-08-02
2007-08-03,64.4,63.9,64.5,62.9,9856.0,2330,2007-08-03
2007-08-06,62.5,62.6,63.4,62.4,9410.0,2330,2007-08-06
2007-08-07,62.8,61.3,62.9,61.2,18233.0,2330,2007-08-07
2007-08-08,61.4,62.8,62.8,60.8,16251.0,2330,2007-08-08
2007-08-09,64.1,63.8,64.3,63.2,11569.0,2330,2007-08-09
2007-08-10,61.1,61.5,62.3,61.1,15370.0,2330,2007-08-10
2007-08-13,62.5,62.0,62.6,61.6,9033.0,2330,2007-08-13
2007-08-14,62.2,61.9,62.7,61.5,9849.0,2330,2007-08-14
2007-08-15,61.5,61.0,61.5,60.7,14935.0,2330,2007-08-15
2007-08-16,60.0,59.1,60.1,58.6,20625.0,2330,2007-08-16
2007-08-17,59.1,59.0,60.3,58.6,14619.0,2330,2007-08-17
2007-08-20,62.0,62.2,62.3,60.8,13147.0,2330,2007-08-20
2007-08-21,61.5,61.9,62.0,60.5,9864.0,2330,2007-08-21
2007-08-22,61.5,60.9,61.5,60.7,7235.0,2330,2007-08-22
2007-08-23,62.5,62.8,63.0,62.3,16604.0,2330,2007-08-23
2007-08-24,63.0,61.6,63.0,61.5,10065.0,2330,2007-08-24
2007-08-27,62.4,61.6,62.6,61.4,7280.0,2330,2007-08-27
2007-08-28,60.8,61.4,61.5,60.6,10143.0,2330,2007-08-28
2007-08-29,59.6,60.2,60.3,59.6,11831.0,2330,2007-08-29
2007-08-30,60.8,60.5,61.0,60.4,6832.0,2330,2007-08-30
2007-08-31,60.6,62.7,62.7,60.6,13370.0,2330,2007-08-31
2007-09-03,62.7,62.6,62.7,61.8,6942.0,2330,2007-09-03
2007-09-04,61.8,61.6,62.5,61.4,4827.0,2330,2007-09-04
